rank,prev_rank,name,league,off,def,spi
173,177,Girona FC,Spanish Segunda Division,1.47,1.2,52.01
174,192,Kashima Antlers,Japanese J League,1.53,1.26,51.81
175,194,Rostov,Russian Premier Liga,1.28,1.02,51.74
176,172,Dijon FCO,French Ligue 1,1.36,1.11,51.67
177,170,Brest,French Ligue 1,1.43,1.17,51.65
178,175,Bristol City,English League Championship,1.5,1.24,51.6
179,174,Stoke City,English League Championship,1.35,1.1,51.54
180,181,Guimaraes,Portuguese Liga,1.37,1.13,51.13
181,,Ferencvaros,UEFA Europa League,1.51,1.28,51.03
182,182,VfB Stuttgart,German 2. Bundesliga,1.56,1.33,50.99
183,193,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.6,1.38,50.86
184,179,Nottingham Forest,English League Championship,1.34,1.13,50.75
185,183,Atlanta United FC,Major League Soccer,1.59,1.38,50.58
186,188,Dinamo Moscow,Russian Premier Liga,1.13,0.92,50.57
187,154,Brondby,Danish SAS-Ligaen,1.66,1.45,50.56
188,187,Fluminense,Brasileiro Série A,1.41,1.21,50.45
189,221,IFK Norrkoping,Swedish Allsvenskan,1.44,1.24,50.38
190,178,Pachuca,Mexican Primera Division Torneo Apertura,1.55,1.36,50.14
191,190,FK Qarabag,UEFA Europa League,1.33,1.15,49.91
192,186,CA Independiente,Argentina Primera Division,1.31,1.13,49.84
193,185,Cruzeiro,Brasileiro Série A,1.25,1.07,49.82
194,184,Velez Sarsfield,Argentina Primera Division,1.29,1.11,49.78
195,173,Derby County,English League Championship,1.4,1.23,49.67
196,201,Queens Park Rangers,English League Championship,1.42,1.25,49.46
197,196,Djurgardens IF,Swedish Allsvenskan,1.27,1.1,49.44
198,207,Rapid Vienna,Austrian T-Mobile Bundesliga,1.51,1.35,49.36
199,199,New York City FC,Major League Soccer,1.58,1.43,49.31
200,214,Vasco da Gama,Brasileiro Série A,1.25,1.1,49.13
201,198,Shandong Luneng,Chinese Super League,1.52,1.38,49.07
202,200,Anderlecht,Belgian Jupiler League,1.32,1.18,48.89
203,213,BK Hacken,Swedish Allsvenskan,1.36,1.23,48.49
204,205,Middlesbrough,English League Championship,1.32,1.2,48.41
205,197,Kawasaki Frontale,Japanese J League,1.39,1.27,48.31
206,210,Hamburg SV,German 2. Bundesliga,1.4,1.29,48.26
207,202,Jiangsu Suning FC,Chinese Super League,1.4,1.29,48.16
208,225,AIK,Swedish Allsvenskan,1.25,1.14,48.16
209,,FK Partizan Belgrade,UEFA Europa League,1.38,1.28,48.0
210,215,Preston North End,English League Championship,1.32,1.22,47.91
211,220,Rayo Vallecano,Spanish Segunda Division,1.43,1.35,47.68
212,204,Blackburn,English League Championship,1.32,1.23,47.62
213,222,Gazovik Orenburg,Russian Premier Liga,1.4,1.32,47.5
214,244,ADO Den Haag,Dutch Eredivisie,1.64,1.6,47.13
215,237,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.24,1.17,47.06
216,203,FC Ufa,Russian Premier Liga,1.16,1.09,46.97
217,212,Ceará,Brasileiro Série A,1.11,1.05,46.75
218,191,FC Utrecht,Dutch Eredivisie,1.61,1.59,46.64
219,219,Portimonense,Portuguese Liga,1.33,1.28,46.6
220,230,Pumas Unam,Mexican Primera Division Torneo Apertura,1.3,1.25,46.59
221,206,Sheffield Wednesday,English League Championship,1.28,1.24,46.53
222,226,Arizona United,United Soccer League,1.66,1.65,46.52
223,227,Philadelphia Union,Major League Soccer,1.56,1.55,46.4
224,235,Caykur Rizespor,Turkish Turkcell Super Lig,1.38,1.36,46.25
225,218,Botafogo,Brasileiro Série A,1.2,1.17,46.2
226,216,KV Kortrijk,Belgian Jupiler League,1.46,1.46,46.05
227,223,San Lorenzo,Argentina Primera Division,1.21,1.19,45.95
228,224,Hammarby,Swedish Allsvenskan,1.69,1.7,45.94
229,228,Millwall,English League Championship,1.19,1.17,45.87
230,240,Necaxa,Mexican Primera Division Torneo Apertura,1.33,1.33,45.59
231,217,Antwerp,Belgian Jupiler League,1.34,1.35,45.47
232,211,Terek Grozny,Russian Premier Liga,1.08,1.07,45.27
233,,CFR 1907 Cluj,UEFA Europa League,1.43,1.46,45.27
234,231,FC Nordsjaelland,Danish SAS-Ligaen,1.44,1.47,45.26
235,245,Banfield,Argentina Primera Division,1.17,1.18,45.18
236,238,Hull City,English League Championship,1.37,1.4,45.15
237,252,Newell's Old Boys,Argentina Primera Division,1.2,1.22,45.11
238,236,Moreirense,Portuguese Liga,1.18,1.19,45.07
239,229,Birmingham,English League Championship,1.22,1.25,45.0
240,253,Alanyaspor,Turkish Turkcell Super Lig,1.35,1.38,44.92
241,255,Mouscron-Peruwelz,Belgian Jupiler League,1.24,1.28,44.69
242,246,Guadalajara,Mexican Primera Division Torneo Apertura,1.26,1.31,44.55
243,234,Tijuana,Mexican Primera Division Torneo Apertura,1.27,1.33,44.44
244,251,Boavista,Portuguese Liga,1.14,1.18,44.38
245,243,Defensa y Justicia,Argentina Primera Division,1.09,1.12,44.34
246,263,Querétaro,Mexican Primera Division Torneo Apertura,1.24,1.29,44.31
247,285,Fortaleza,Brasileiro Série A,1.25,1.3,44.26
248,232,Hannover 96,German 2. Bundesliga,1.36,1.43,44.17
249,260,Famalicao,Portuguese Liga,1.28,1.34,44.14
250,241,Guingamp,French Ligue 2,1.32,1.4,43.96
251,322,AaB,Danish SAS-Ligaen,1.27,1.35,43.88
252,292,Sochi,Russian Premier Liga,1.17,1.23,43.78
253,284,Talleres de Córdoba,Argentina Primera Division,1.08,1.15,43.68
254,262,FC Luzern,Swiss Raiffeisen Super League,1.35,1.45,43.62
255,209,Rubin Kazan,Russian Premier Liga,0.98,1.04,43.58
256,272,Yokohama F. Marinos,Japanese J League,1.49,1.61,43.53
257,308,AGF Aarhus,Danish SAS-Ligaen,1.21,1.3,43.49
258,,Slovan Bratislava,UEFA Europa League,1.16,1.24,43.47
259,242,Lorient,French Ligue 2,1.33,1.43,43.44
260,265,FC Tokyo,Japanese J League,1.11,1.19,43.43
